sub_title_id,all_vv,platform_vv,vv_share,week_start_date,week_end_date,target_week_start_date,target_week_end_date,popularity_tag
1271324265,646,63467800,0.00101784,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1770015987,646,63467800,0.00101784,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003060,646,63467800,0.00101784,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000063225,645,63467800,0.00101626,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
8063,644,63467800,0.00101469,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260015867,643,63467800,0.00101311,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003227,643,63467800,0.00101311,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003674,643,63467800,0.00101311,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971000596,642,63467800,0.00101154,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260114787,642,63467800,0.00101154,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271391950,642,63467800,0.00101154,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971004077,639,63467800,0.00100681,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000037734,639,63467800,0.00100681,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271397000,639,63467800,0.00100681,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971000600,638,63467800,0.00100523,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003597,638,63467800,0.00100523,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000087041,638,63467800,0.00100523,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000105292,637,63467800,0.00100366,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000067902,637,63467800,0.00100366,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971002969,637,63467800,0.00100366,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271406725,636,63467800,0.00100208,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000106954,635,63467800,0.00100051,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000163543,635,63467800,0.00100051,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000070201,634,63467800,0.00099893,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001285,633,63467800,0.00099736,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000080774,632,63467800,0.00099578,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971312123,631,63467800,0.0009942,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971311972,631,63467800,0.0009942,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971311851,631,63467800,0.0009942,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000063886,630,63467800,0.00099263,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260080063,630,63467800,0.00099263,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271422756,630,63467800,0.00099263,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000109127,629,63467800,0.00099105,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000061237,628,63467800,0.00098948,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971006203,628,63467800,0.00098948,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271390191,628,63467800,0.00098948,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260136126,627,63467800,0.0009879,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
6849,627,63467800,0.0009879,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260029766,627,63467800,0.0009879,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
18239,626,63467800,0.00098633,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007134,625,63467800,0.00098475,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971006931,625,63467800,0.00098475,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971002004,625,63467800,0.00098475,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000069036,624,63467800,0.00098318,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971008029,623,63467800,0.0009816,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971006627,622,63467800,0.00098002,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001849,622,63467800,0.00098002,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001709,622,63467800,0.00098002,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000057134,621,63467800,0.00097845,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001735,621,63467800,0.00097845,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000044262,620,63467800,0.00097687,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000160157,620,63467800,0.00097687,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007139,618,63467800,0.00097372,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260164312,618,63467800,0.00097372,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260114797,617,63467800,0.00097215,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000055663,616,63467800,0.00097057,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971000655,616,63467800,0.00097057,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260002922,615,63467800,0.000969,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000037742,615,63467800,0.000969,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003427,614,63467800,0.00096742,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000062766,614,63467800,0.00096742,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000158666,614,63467800,0.00096742,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000108154,613,63467800,0.00096584,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260143418,612,63467800,0.00096427,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007356,612,63467800,0.00096427,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
